Media,ABRC-new,Genotype,MRPL,MRVL,MRVA,noLRpMR,Basal,Branched,Apical,Straightness,TRS,LRDpMR,LRDpBZ,Depth,LRL,MRpTRS,aLRL,aLRLpMRL,LRLpMRL,BasalpMRL,BranchedpMRL,ApicalpMRL,PC1,PC2,PC3
125,CS28007,Aa-0,0.884268,0.806628,7.35238,5,0.144961,0.535205,0.204102,0.912199,1.709924,5.654395,9.342215,0.799996,0.825656,0.517138773,0.1651312,0.186743385,0.933716927,16.39333324,60.52520277,23.08146399,1.502981171,4.32603759,0.13377203
125,CS28007,Aa-0,1.39806,1.22027,-2.41103,4,0.176524,0.367023,0.854513,0.872831,2.167655,2.861108,10.898499,1.21919,0.769595,0.644964259,0.19239875,0.137618378,0.550473513,12.62635366,26.25230677,61.12133957,2.549880277,2.069674074,1.531615369
125,CS28007,Aa-0,2.01998,1.778,0,4,0.043361,0.480047,1.496572,0.880207,3.389182,1.980218,8.332519,1.778,1.369202,0.596008122,0.3423005,0.169457371,0.677829483,2.146605412,23.76493827,74.08845632,1.546980833,1.072958397,2.570425844
0,CS28013,Alst-1,3.57097,3.18701,21.844,7,0.211542,1.110318,2.24911,0.892477,4.505665,1.960252,6.304501,2.958184,0.934695,0.792551155,0.133527857,0.037392601,0.261748208,5.923936633,31.09289633,62.98316704,1.58426918,-1.606534271,0.716454624
0,CS28013,Alst-1,3.67092,3.32234,29.417601,5,0.155482,1.099798,2.41564,0.905043,4.234607,1.362056,4.546289,2.893967,0.563687,0.86688564,0.1127374,0.030710939,0.153554695,4.235504996,29.95973761,65.80475739,2.076848732,-2.281218487,0.708872946
0,CS28013,Alst-1,3.39753,2.97755,27.004101,2,0.621926,0.166003,2.609601,0.876387,3.601633,0.588663,12.047972,2.65292,0.204103,0.943330428,0.1020515,0.030036968,0.060073936,18.30523939,4.885990705,76.8087699,3.790740867,-2.526780548,2.01506471
0,CS28013,Alst-1,3.47245,3.00724,24.826099,7,0.198842,1.071308,2.2023,0.866028,4.662048,2.015868,6.534069,2.72933,1.189598,0.744833601,0.169942571,0.04894025,0.342581751,5.726273956,30.85164653,63.42207951,1.411893357,-1.196868591,1.05437029
75,CS28013,Alst-1,3.75711,3.20444,-12.875,10,0.186142,1.787028,1.78394,0.8529,5.61688,2.66162,5.595883,3.123876,1.85977,0.668896256,0.185977,0.049500015,0.495000146,4.954393137,47.56389885,47.48170801,0.056035089,-0.162046197,-0.266779076
75,CS28013,Alst-1,4.14353,3.47237,-15.1075,19,0.186142,2.083108,1.87428,0.838022,8.917856,4.585462,9.120987,3.35236,4.774326,0.464632979,0.251280316,0.06064402,1.152236378,4.492353139,50.27375209,45.23389477,-2.502576718,0.840902531,0.092443512
75,CS28013,Alst-1,3.45524,2.88037,4.82686,2,0.181784,0.358308,2.915148,0.833624,4.276911,0.578831,5.58179,2.870155,0.821671,0.807882137,0.4108355,0.11890216,0.23780432,5.261110661,10.36998877,84.36890057,2.176727251,-1.777090239,2.996140033
75,CS28013,Alst-1,3.75876,3.36151,-12.9295,10,0.293905,1.339815,2.12504,0.894314,5.40263,2.660452,7.463717,3.276283,1.64387,0.695727821,0.164387,0.04373437,0.437343698,7.819201013,35.64513297,56.53566602,0.521182375,-0.816356726,0.210581604
125,CS28013,Alst-1,1.13263,0.968243,-4.57392,4,0.119561,0.637707,0.375362,0.854863,1.428714,3.531604,6.272473,0.965159,0.296084,0.792761882,0.074021,0.065353204,0.261412818,10.55605096,56.30320581,33.14074323,2.985965875,2.548643213,-0.987881691
125,CS28013,Alst-1,1.49658,1.35536,10.3533,2,0.074021,0.66401,0.758549,0.905638,1.644623,1.33638,3.012003,1.333292,0.148043,0.909983625,0.0740215,0.049460436,0.098920873,4.946010237,44.3684935,50.68549626,3.715194297,0.476456298,-0.370716752
125,CS28013,Alst-1,1.39498,1.23876,-13.1726,3,0.591266,0.171263,0.632451,0.888013,1.842188,2.150568,17.516914,1.206166,0.447208,0.757240846,0.149069333,0.106861269,0.320583808,42.38526717,12.27709358,45.33763925,4.110478642,2.067515306,1.315606614
125,CS28013,Alst-1,1.54573,1.27026,-1.15733,7,0.176524,1.017956,0.35125,0.821786,2.295184,4.528605,6.876526,1.270001,0.749454,0.673466702,0.107064857,0.069264915,0.484854405,11.42010571,65.85600331,22.72389098,1.716423508,3.107203662,-1.197041602
0,CS28014,Amel-1,3.77996,3.22379,35.8274,8,0.048621,1.135719,2.59562,0.852864,5.818434,2.116425,7.043995,2.613797,2.038474,0.649652467,0.25480925,0.067410568,0.539284543,1.286283453,30.04579414,68.66792241,0.439217043,-1.203362177,1.89196831
0,CS28014,Amel-1,3.70195,2.95822,32.319599,11,0.140603,1.382277,2.17907,0.799098,4.922208,2.971407,7.957884,2.49993,1.220258,0.752091338,0.110932545,0.029965976,0.329625738,3.798079391,37.33915909,58.86276152,0.938257729,-0.763389938,0.525804523
0,CS28014,Amel-1,3.99676,3.39944,35.537701,11,0.135342,1.591638,2.26978,0.850549,5.355442,2.752229,6.911119,2.766237,1.358682,0.746298812,0.123516545,0.030904169,0.339945856,3.386292897,39.8232068,56.79050031,0.627708909,-1.311333903,0.424142828
0,CS28014,Amel-1,4.15713,3.64241,39.0355,12,0.074021,1.651689,2.43142,0.876184,6.927098,2.886607,7.265291,2.829263,2.769968,0.600125767,0.230830667,0.055526449,0.666317387,1.78057939,39.7314734,58.48794721,-0.587606643,-1.085556817,1.215178209
75,CS28014,Amel-1,5.01261,4.51882,3.87853,19,0.074021,3.043949,1.89464,0.90149,10.488361,3.790441,6.241892,4.508471,5.475751,0.477921193,0.288197421,0.057494483,1.092395179,1.476695773,60.72582946,37.79747477,-3.540140589,-0.547546026,-0.318865888
